,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,kWh_sep,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_h_sep,Type_sep,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,Formula_BP,MW_BP,Deg_RedBP,BoilP_degC,SubstratePathway,CO2_BProd_mass,YieldBP_Molar,YieldBP_Mass,Bioconversion,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,CT_OverallSavings_mass,BioproductionCost_mass2
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,33997.86221704784,169989311.0852392,199907429.8362413,199907.4298362413,0.0,1761.8150445873541,634253.4160514475,634253.4160514475,27.939979263078513,93.04497613474734,55.8269856808484,6496.991469677842,506.25,Nanofiltration,7210.985650442919,370.154722990281,9490.587565744228,14584.381843111043,5093.794277366815,0.010243526176216666,232.5338687084617,258.0884395992351,13.24821036926912,339.67768824673516,521.9897160905799,182.31202784384476,1.9981040485102068,1-3-Butanediol-PW1,C4H10O2,90.1192,5.5,207,Acetaldehyde,0.27966661398215403,0.437380952380953,0.894775180919208,90,648.194748582713,226.39085677185847,2.201532749611108,374.26056743388835,273.9341811488247
1,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,33429.25275887379,167146263.79436892,196564006.22217783,196564.00622217782,0.0,1732.348936056466,623645.6169803278,623645.6169803278,27.472687044269325,91.48881201101408,54.89328720660844,6388.330202220779,506.25,Nanofiltration,7090.382930853591,363.9639373715743,9331.858825123434,14348.927070445943,5017.068245322509,0.010243526176216664,232.53386870846168,258.0884395992351,13.24821036926912,339.67768824673516,522.2979116430864,182.62022339635126,1.9981040485102066,1-3-Butanediol-PW2,C4H10O2,90.1192,5.5,207,Acetaldehyde,0.242318675012557,0.444820512820513,0.909994714376324,90,637.7300920198197,222.98081090322262,2.1973829786144847,373.5551063644624,264.1749856553573
2,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,35449.56367487039,177247818.37435195,208443434.40823787,208443.43440823787,0.0,1837.0441708280819,661335.9014981095,661335.9014981095,29.13301041217836,97.01797674977267,58.2107860498636,6774.411618267731,506.25,Nanofiltration,7518.893198107382,385.9602506306467,9895.833628476812,15185.51506700576,5289.681438528947,0.010243526176216666,232.5338687084617,258.08843959923513,13.248210369269126,339.6776882467353,521.247713578471,181.57002533173574,1.998104048510207,1-3-Diaminopropane,C3H12N2,76.13958000000001,6.0,139.3,Acetaldehyde,0.594379323503744,0.496486486486487,0.858133081555806,90,674.9117807558116,235.0969528235087,1.9927667231568604,338.7703429366663,336.1414378191453
3,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,34471.820720520394,172359103.60260198,202694305.8366599,202694.3058366599,0.0,1786.3762130689813,643095.4367048333,643095.4367048333,28.32948583481651,94.34210056459904,56.60526033875942,6587.564939691448,506.25,Nanofiltration,7311.512793756426,375.3149879928786,9622.894257589101,14780.642721440752,5157.748463851651,0.010243526176216666,232.5338687084617,258.0884395992351,13.248210369269117,339.67768824673516,521.7405923857456,182.0629041390104,1.9981040485102068,1-3-Propanediol,C3H8O2,76.09282,5.333333333333333,213,Acetaldehyde,0.529092698107581,0.510882352941177,0.882472775742205,90,656.9174542862557,229.2332650600734,1.9866966502817265,337.73843054789353,319.1790237383622
4,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,36811.21164551402,184056058.22757012,216449924.47562245,216449.92447562245,0.0,1907.6066039833308,686738.3774339991,686738.3774339991,30.252034185511945,100.74451996956766,60.44671198174059,7034.62254545773,506.25,Nanofiltration,7807.700297641494,400.7853129879832,10275.9410368959,15749.358156087208,5473.417119191308,0.010243526176216666,232.5338687084617,258.08843959923513,13.248210369269119,339.67768824673516,520.6049305481005,180.9272423013653,1.9981040485102066,1-4-Butanediol,C4H10O2,90.1192,5.5,230,Acetaldehyde,0.4644556660178377,0.403953488372093,0.826390709685658,90,699.9714736038758,243.26298307516913,2.222064866503966,377.7510273056742,322.2204462982016
5,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,48043.55861607665,240217793.08038324,282496124.66253066,282496.12466253067,0.0,2489.681963675779,896285.5069232805,896285.5069232805,39.482954042462694,131.48508386564527,78.89105031938715,9181.124051532246,506.25,Nanofiltration,10190.093999587509,523.0784811547303,13411.478554295814,20400.546532274486,6989.0679779786715,0.010243526176216664,232.53386870846168,258.08843959923513,13.248210369269119,339.67768824673516,516.6925076156746,177.0148193689394,1.9981040485102068,1-Propanol-PW1,C3H8O,60.09382,6.0,97,Acetaldehyde,0.9585774893353097,0.464155844155844,0.633184638948577,90,906.690956989977,310.62524346571865,2.547691413748564,433.10754033725584,473.5834166527212
6,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,51591.57248187663,257957862.40938315,303358446.19343454,303358.44619343453,0.0,2673.5448244422564,962476.1367992124,962476.1367992124,42.398767784006075,141.19524926844446,84.71714956106666,9859.149501286623,506.25,Nanofiltration,10942.631818304446,561.7077950003028,14401.915425381332,21869.739114591375,7467.823689210043,0.010243526176216664,232.53386870846168,258.0884395992351,13.248210369269119,339.67768824673516,515.8107241701778,176.1330359234426,1.9981040485102066,1-Propanol-PW2,C3H8O,60.09382,6.0,97,Acetaldehyde,1.1916214590024865,0.432235294117647,0.589639777442557,90,971.9884050929501,331.9032750760019,2.5735851881560317,437.5094819865254,534.4789231064246
7,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,34807.33512697756,174036675.63488778,204667130.54662803,204667.13054662803,0.0,1803.7630218394345,649354.6878621964,649354.6878621964,28.605216864580388,95.26033270938422,57.15619962563053,6651.681742765411,506.25,Nanofiltration,7382.675784977277,378.9679306805259,9716.55393635719,14919.575458423215,5203.021522066025,0.010243526176216667,232.53386870846174,258.08843959923513,13.248210369269122,339.6776882467353,521.5683394065423,181.89065115980708,1.998104048510207,2-3-Butanediol,C4H10O2,90.1192,5.5,177,Acetaldehyde,0.3328351717734393,0.427209302325582,0.873966455781552,90,663.0922425965872,231.24540098071208,2.2074403671434735,375.2648624143905,287.8273801821967
8,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,55448.395403701565,277241977.01850784,326036564.9737652,326036.56497376517,0.0,2873.4105867246053,1034427.8112208578,1034427.8112208578,45.56836567722654,151.75055990609985,91.0503359436599,10596.188361647368,506.25,Nanofiltration,11760.668392722739,603.6992946756798,15478.557110422184,23466.806049045786,7988.248938623603,0.010243526176216666,232.5338687084617,258.08843959923513,13.248210369269122,339.6776882467352,514.9801995372784,175.30251129054318,1.9981040485102068,2-Methyl-1-Butanol,C5H12O,88.14658,6.0,129,Acetaldehyde,1.1456034806045592,0.274179104477612,0.548626215324069,90,1042.9691577353683,355.03328616104915,2.901078116891436,493.18327987154413,549.7858778638242
9,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.176,500,100.0,,FormicAcid/CO,0.0,0.2,0.0325,77.5,170,60.0,1812.1301775147926,20,0.95,1,23770.87814444572,118854390.7222286,139772763.48934084,139772.76348934084,0.0,1231.8389453598352,443462.0203295407,443462.0203295407,19.53528248867205,65.05587838234362,39.03352702940617,4542.6148134035775,1431.5625,Distillation,5041.830574631631,258.80753203302646,6635.69959499905,11274.815420068235,4639.115825069185,0.010243526176216666,232.5338687084617,258.08843959923513,13.248210369269119,339.6776882467352,577.1513888578871,237.4737006111519,1.998104048510207,2-Pyrone-4-6-Dicarboxylate,C7H2O6,182.08458000000002,2.5714285714285716,355.5,Acetaldehyde,-0.13056495501858614,0.309606741573034,1.27973578137387,90,501.10290755858813,206.18292555863042,1.8653883785477492,317.1160243531174,183.98688320547075
